2023-06-17 06:15:18 status unpacked mysql-community-server-core:amd64 8.0.33-1debian11
2023-06-17 06:15:18 install psmisc:amd64 <none> 23.4-2
2023-06-17 06:15:18 status half-installed psmisc:amd64 23.4-2
2023-06-17 06:15:18 status unpacked psmisc:amd64 23.4-2
2023-06-17 06:15:18 install mysql-community-server:amd64 <none> 8.0.33-1debian11
2023-06-17 06:15:18 status half-installed mysql-community-server:amd64 8.0.33-1debian11
2023-06-17 06:15:18 status unpacked mysql-community-server:amd64 8.0.33-1debian11
2023-06-17 06:15:18 install mecab-utils:amd64 <none> 0.996-14+b4
2023-06-17 06:15:18 status half-installed mecab-utils:amd64 0.996-14+b4
2023-06-17 06:15:18 status unpacked mecab-utils:amd64 0.996-14+b4
2023-06-17 06:15:18 install mecab-ipadic:all <none> 2.7.0-20070801+main-3
2023-06-17 06:15:18 status half-installed mecab-ipadic:all 2.7.0-20070801+main-3
2023-06-17 06:15:20 status unpacked mecab-ipadic:all 2.7.0-20070801+main-3
2023-06-17 06:15:20 install mecab-ipadic-utf8:all <none> 2.7.0-20070801+main-3
2023-06-17 06:15:20 status half-installed mecab-ipadic-utf8:all 2.7.0-20070801+main-3
2023-06-17 06:15:20 status unpacked mecab-ipadic-utf8:all 2.7.0-20070801+main-3
2023-06-17 06:15:20 install mysql-server:amd64 <none> 8.0.33-1debian11
2023-06-17 06:15:20 status half-installed mysql-server:amd64 8.0.33-1debian11
2023-06-17 06:15:20 status unpacked mysql-server:amd64 8.0.33-1debian11
2023-06-17 06:15:20 startup packages configure
2023-06-17 06:15:20 configure libmecab2:amd64 0.996-14+b4 <none>
2023-06-17 06:15:20 status unpacked libmecab2:amd64 0.996-14+b4
2023-06-17 06:15:20 status half-configured libmecab2:amd64 0.996-14+b4
2023-06-17 06:15:20 status installed libmecab2:amd64 0.996-14+b4
2023-06-17 06:15:20 configure mysql-common:amd64 8.0.33-1debian11 <none>
2023-06-17 06:15:20 status unpacked mysql-common:amd64 8.0.33-1debian11
2023-06-17 06:15:20 status half-configured mysql-common:amd64 8.0.33-1debian11
2023-06-17 06:15:20 status installed mysql-common:amd64 8.0.33-1debian11
2023-06-17 06:15:20 configure psmisc:amd64 23.4-2 <none>
2023-06-17 06:15:20 status unpacked psmisc:amd64 23.4-2
2023-06-17 06:15:20 status half-configured psmisc:amd64 23.4-2
2023-06-17 06:15:20 status installed psmisc:amd64 23.4-2
2023-06-17 06:15:20 configure mecab-utils:amd64 0.996-14+b4 <none>
2023-06-17 06:15:20 status unpacked mecab-utils:amd64 0.996-14+b4
2023-06-17 06:15:20 status half-configured mecab-utils:amd64 0.996-14+b4
2023-06-17 06:15:20 status installed mecab-utils:amd64 0.996-14+b4
2023-06-17 06:15:20 configure libnuma1:amd64 2.0.12-1+b1 <none>
2023-06-17 06:15:20 status unpacked libnuma1:amd64 2.0.12-1+b1
2023-06-17 06:15:20 status half-configured libnuma1:amd64 2.0.12-1+b1
2023-06-17 06:15:20 status installed libnuma1:amd64 2.0.12-1+b1
2023-06-17 06:15:20 configure mysql-community-client-plugins:amd64 8.0.33-1debian11 <none>
2023-06-17 06:15:20 status unpacked mysql-community-client-plugins:amd64 8.0.33-1debian11
2023-06-17 06:15:20 status half-configured mysql-community-client-plugins:amd64 8.0.33-1debian11
2023-06-17 06:15:20 status installed mysql-community-client-plugins:amd64 8.0.33-1debian11
2023-06-17 06:15:20 configure libaio1:amd64 0.3.112-9 <none>
2023-06-17 06:15:20 status unpacked libaio1:amd64 0.3.112-9
2023-06-17 06:15:20 status half-configured libaio1:amd64 0.3.112-9
2023-06-17 06:15:20 status installed libaio1:amd64 0.3.112-9
2023-06-17 06:15:20 configure mecab-ipadic:all 2.7.0-20070801+main-3 <none>
2023-06-17 06:15:20 status unpacked mecab-ipadic:all 2.7.0-20070801+main-3
2023-06-17 06:15:20 status half-configured mecab-ipadic:all 2.7.0-20070801+main-3
2023-06-17 06:15:22 status installed mecab-ipadic:all 2.7.0-20070801+main-3
2023-06-17 06:15:22 configure mysql-community-client-core:amd64 8.0.33-1debian11 <none>
2023-06-17 06:15:22 status unpacked mysql-community-client-core:amd64 8.0.33-1debian11
2023-06-17 06:15:22 status half-configured mysql-community-client-core:amd64 8.0.33-1debian11
2023-06-17 06:15:22 status installed mysql-community-client-core:amd64 8.0.33-1debian11
2023-06-17 06:15:22 configure mysql-community-server-core:amd64 8.0.33-1debian11 <none>
2023-06-17 06:15:22 status unpacked mysql-community-server-core:amd64 8.0.33-1debian11
2023-06-17 06:15:22 status half-configured mysql-community-server-core:amd64 8.0.33-1debian11
2023-06-17 06:15:22 status installed mysql-community-server-core:amd64 8.0.33-1debian11
2023-06-17 06:15:22 configure mecab-ipadic-utf8:all 2.7.0-20070801+main-3 <none>
2023-06-17 06:15:22 status unpacked mecab-ipadic-utf8:all 2.7.0-20070801+main-3
2023-06-17 06:15:22 status half-configured mecab-ipadic-utf8:all 2.7.0-20070801+main-3
2023-06-17 06:15:24 status installed mecab-ipadic-utf8:all 2.7.0-20070801+main-3
2023-06-17 06:15:24 configure mysql-community-client:amd64 8.0.33-1debian11 <none>
2023-06-17 06:15:24 status unpacked mysql-community-client:amd64 8.0.33-1debian11
2023-06-17 06:15:24 status half-configured mysql-community-client:amd64 8.0.33-1debian11
2023-06-17 06:15:24 status installed mysql-community-client:amd64 8.0.33-1debian11
2023-06-17 06:15:24 configure mysql-client:amd64 8.0.33-1debian11 <none>
2023-06-17 06:15:24 status unpacked mysql-client:amd64 8.0.33-1debian11
2023-06-17 06:15:24 status half-configured mysql-client:amd64 8.0.33-1debian11
2023-06-17 06:15:24 status installed mysql-client:amd64 8.0.33-1debian11
2023-06-17 06:15:24 configure mysql-community-server:amd64 8.0.33-1debian11 <none>
2023-06-17 06:15:24 status unpacked mysql-community-server:amd64 8.0.33-1debian11
2023-06-17 06:15:24 status half-configured mysql-community-server:amd64 8.0.33-1debian11
2023-06-17 06:15:35 status installed mysql-community-server:amd64 8.0.33-1debian11
